Date,Nifty 50,Nifty (base to 100),India Venture Index
31-Jan-21,"14,281 ",100 ,
28-Feb-21,"14,762 ",103 ,
31-Mar-21,"14,691 ",103 ,100 
30-Apr-21,"14,631 ",102 ,118 
31-May-21,"15,583 ",109 ,116 
30-Jun-21,"15,722 ",110 ,103 
31-Jul-21,"15,885 ",111 ,128 
31-Aug-21,"17,132 ",120 ,124 
30-Sep-21,"17,618 ",123 ,126 
31-Oct-21,"17,930 ",126 ,123 
30-Nov-21,"16,983 ",119 ,138 
31-Dec-21,"17,354 ",122 ,116 
31-Jan-22,"17,340 ",121 ,84 
28-Feb-22,"16,794 ",118 ,71 
31-Mar-22,"17,465 ",122 ,73 
30-Apr-22,"17,069 ",120 ,71 
31-May-22,"16,585 ",116 ,69 
30-Jun-22,"15,780 ",110 ,63 
31-Jul-22,"17,340 ",121 ,64 
31-Aug-22,"17,543 ",123 ,67 
30-Sep-22,"17,094 ",120 ,64 
31-Oct-22,"18,012 ",126 ,56 
30-Nov-22,"18,758 ",131 ,53 
31-Dec-22,"18,197 ",127 ,51 
31-Jan-23,"17,662 ",124 ,47 
28-Feb-23,"17,304 ",121 ,51 
31-Mar-23,"17,360 ",122 ,50 
30-Apr-23,"18,148 ",127 ,54 
31-May-23,"18,534 ",130 ,56 
30-Jun-23,"19,189 ",134 ,65 
31-Jul-23,"19,754 ",138 ,67 
31-Aug-23,"19,254 ",135 ,72 
30-Sep-23,"19,529 ",137 ,76 
31-Oct-23,"19,080 ",134 ,75 
30-Nov-23,"20,133 ",141 ,82 
31-Dec-23,"21,742 ",152 ,79 
31-Jan-24,"21,726 ",152 ,88 
29-Feb-24,"21,983 ",154 ,89 
31-Mar-24,"22,462 ",157 ,93 
30-Apr-24,"22,605 ",158 ,97 
31-May-24,"22,531 ",158 ,92 
30-Jun-24,"24,142 ",169 ,105 
31-Jul-24,"24,951 ",175 ,112 
31-Aug-24,"25,279 ",177 ,122 
30-Sep-24,"25,811 ",181 ,125 
31-Oct-24,"24,205 ",169 ,115 
30-Nov-24,"24,276 ",170 ,126 
31-Dec-24,"23,645 ",166 ,129 
31-Jan-25,"23,508 ",165 ,107 
28-Feb-25,"22,125 ",155 ,97 
31-Mar-25,"23,166 ",162 ,97 
30-Apr-25,"24,334 ",170 ,103 
31-May-25,"24,717 ",173 ,110 
30-Jun-25,"25,517 ",179 ,118 
31-Jul-25,"24,768 ",173 ,127 
31-Aug-25,"24,625 ",172 ,136 
30-Sep-25,"24,611 ",172 ,135 
31-Oct-25,"25,722 ",180 ,137 
30-Nov-25,"26,176 ",183 ,134 
31-Dec-25,,,
31-Jan-26,,,
28-Feb-26,,,
31-Mar-26,,,
30-Apr-26,,,
31-May-26,,,
30-Jun-26,,,
31-Jul-26,,,
31-Aug-26,,,
30-Sep-26,,,
31-Oct-26,,,
30-Nov-26,,,
31-Dec-26,,,
31-Jan-27,,,
28-Feb-27,,,
31-Mar-27,,,
30-Apr-27,,,
31-May-27,,,
30-Jun-27,,,
31-Jul-27,,,
31-Aug-27,,,
30-Sep-27,,,
31-Oct-27,,,
30-Nov-27,,,
31-Dec-27,,,
31-Jan-28,,,
29-Feb-28,,,
31-Mar-28,,,
30-Apr-28,,,
31-May-28,,,
30-Jun-28,,,
31-Jul-28,,,
31-Aug-28,,,
30-Sep-28,,,
31-Oct-28,,,
30-Nov-28,,,
31-Dec-28,,,
31-Jan-29,,,
28-Feb-29,,,
31-Mar-29,,,
30-Apr-29,,,
31-May-29,,,
30-Jun-29,,,
31-Jul-29,,,
31-Aug-29,,,
30-Sep-29,,,
31-Oct-29,,,
30-Nov-29,,,
31-Dec-29,,,
31-Jan-30,,,
28-Feb-30,,,
31-Mar-30,,,
30-Apr-30,,,
31-May-30,,,
30-Jun-30,,,
31-Jul-30,,,
31-Aug-30,,,
30-Sep-30,,,
31-Oct-30,,,
30-Nov-30,,,
31-Dec-30,,,
31-Jan-31,,,
28-Feb-31,,,
31-Mar-31,,,
30-Apr-31,,,
31-May-31,,,
30-Jun-31,,,
31-Jul-31,,,
31-Aug-31,,,
30-Sep-31,,,
31-Oct-31,,,
30-Nov-31,,,
31-Dec-31,,,