Listing date,Ticker,Company,IPO valuation,31-Jan-26,All time return
30-Mar-21,NSE:NAZARA,Nazara Technologies Ltd,"3,350 ","10,384 ",210.0%
23-Jul-21,NSE:ETERNAL,Eternal Ltd,"60,263 ","263,118 ",336.6%
20-Aug-21,NSE:CARTRADE,Cartrade Tech Ltd,"7,416 ","11,792 ",59.0%
10-Nov-21,NSE:NYKAA,Fsn E-Commerce Ventures Ltd,"53,346 ","68,051 ",27.6%
15-Nov-21,NSE:POLICYBZR,PB Fintech Ltd,"44,025 ","72,333 ",64.3%
18-Nov-21,NSE:PAYTM,One 97 Communications Ltd,"139,379 ","74,950 ",-46.2%
17-Dec-21,NSE:RATEGAIN,Rategain Travel Technologies Ltd,"4,537 ","7,532 ",66.0%
21-Dec-21,NSE:MAPMYINDIA,CE Info Systems Ltd,"5,500 ","6,756 ",22.8%
24-May-22,NSE:DELHIVERY,Delhivery,"35,284 ","32,917 ",-6.7%
20-Oct-22,NSE:TRACXN,Tracxn Technologies Ltd,802 ,370 ,-53.9%
7-Jul-23,NSE:IDEAFORGE,ideaForge Technology Ltd,"2,882 ","1,854 ",-35.7%
22-Sep-23,NSE:ZAGGLE,Zaggle Prepaid Ocean Services Ltd,"2,009 ","3,798 ",89.1%
28-Sep-23,NSE:YATRA,Yatra Online Ltd,"2,228 ","2,299 ",3.2%
7-Nov-23,NSE:HONASA,Honasa Consumer Ltd,"10,506 ","8,957 ",-14.7%
23-Jan-24,NSE:MEDIASSIST,Medi Assist Healthcare Services Ltd,"2,878 ","2,899 ",0.7%
15-May-24,NSE:TBOTEK,Tbo Tek Ltd,"9,988 ","15,181 ",52.0%
23-May-24,NSE:GODIGIT,Go Digit General Insurance Ltd,"24,948 ","29,711 ",19.1%
30-May-24,NSE:AWFIS,Awfis Space Solutions Ltd,"2,659 ","2,751 ",3.5%
18-Jun-24,NSE:IXIGO,Le Travenues Technology Ltd,"3,628 ","9,021 ",148.7%
9-Aug-24,NSE:OLAELEC,Ola Electric Mobility Ltd,"33,522 ","14,036 ",-58.1%
13-Aug-24,NSE:FIRSTCRY,Brainbees Solutions Ltd,"24,142 ","14,018 ",-41.9%
13-Aug-24,NSE:UNIECOM,Unicommerce eSolutions Ltd,"1,106 ","1,127 ",1.9%
13-Nov-24,NSE:SWIGGY,Swiggy Ltd,"87,301 ","84,576 ",-3.1%
18-Dec-24,NSE:MOBIKWIK,One MobiKwik Systems Ltd,"2,167 ","1,559 ",-28.1%
6-May-25,NSE:ATHERENERG,Ather Energy Ltd,"11,956 ","23,161 ",93.7%
19-Aug-25,NSE:BLUESTONE,Bluestone Jewellery and Lifestyle Ltd,"7,823 ","6,856 ",-12.4%
17-Sep-25,NSE:URBANCO,Urban Company Ltd,"14,790 ","17,635 ",19.2%
10-Nov-25,NSE:LENSKART,Lenskart Solutions Ltd,"69,727 ","77,038 ",10.5%
12-Nov-25,NSE:GROWW,Billionbrains Garage Ventures Ltd,"61,736 ","101,346 ",64.2%
14-Nov-25,NSE:PINELABS,Pine Labs Ltd,"25,377 ","25,474 ",0.4%
18-Nov-25,NSE:PWL,Physicswallah Ltd,"31,527 ","34,092 ",8.1%
21-Nov-25,NSE:CAPILLARY,Capillary Technologies India Ltd,"4,576 ","4,785 ",4.6%
10-Dec-25,NSE:MEESHO,Meesho Ltd,"50,096 ","70,937 ",41.6%
15-Dec-25,NSE:WAKEFIT,Wakefit Innovations Ltd,"6,373 ","5,873 ",-7.9%